#
# TOTAL DE REGISTROS POR TABELA - VDB FINANCEIRO
# Gerado em: 2025-07-30 (até 20250729)
#

WA_BATIMENTO_PAGAMENTO                       = 4.880
WA_CALENDARIO_SIAFI                          = 117
WA_CONTROLE_ETC                              = 2.820
WA_CONTROLE_PUBLICACAO                       = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WA_DIA_ACUM                                  = 1.208.546
WA_DIA_ACUM_SEM_ANO_MES                      = 528
WA_FONTE_RECURSO_DE_PARA                     = 10.863
WA_MES_ACUM                                  = 2.160
WA_MES_ACUM_SEM_ANO                          = 120
WA_MES_ZERO_SEM_ANO                          = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WA_MSC_CONTA_CONTABIL                        = 80.956
WA_MSC_FONTE_RECURSO                         = 6.753
WA_MSC_NATUREZA_DESPESA_DETA                 = 73.307
WA_MSC_NATUREZA_RECEITA                      = 33.876
WA_MSC_PODER_ORGAO                           = 381.063
WA_SALDO_CLASSE                              = 27.608
WA_TP_ERRO                                   = 2
WD_ABA                                       = 16
WD_ABER_ENCE_EVENTO                          = 6
WD_ACAO_PF                                   = 18
WD_ACAO_PF_TESTE                             = 24
WD_ACAO_PF_TESTE_2                           = 8
WD_ACAO_PI                                   = 382
WD_ACAO_PT                                   = 21.758
WD_ACOMPANHAMENTO_PO                         = 7
WD_ADITIVO_TV                                = 1.201.316
WD_AGENCIA_BANCARIA                          = 65.377
WD_ALINEA2_NARE                              = 1.408
WD_ALINEA_NARE                               = 1.042
WD_AMBIENTE                                  = 0
WD_AMPARO_LEGAL                              = 417
WD_AMPLITUDE_UG                              = 5
WD_ANO                                       = 48
WD_APOIADOR_EMENDAS                          = 864
WD_APOIADOR_EMENDAS_COMP                     = 83
WD_AREA_ATUACAO_CARGO                        = 11
WD_AREA_ATUACAO_SIORG                        = 5
WD_ATIVIDADE_GOVERNO                         = 5
WD_ATRIBUTO                                  = 105
WD_AUTOR_EMENDA                              = 83.548
WD_BANCO                                     = 878
WD_CADASTRADORES_SIAFI                       = 647.995
WD_CALENDARIO_SIAFI                          = 20.457
WD_CALENDARIO_TESOURO                        = 266.264
WD_CAMBIO_EVENTO                             = 6
WD_CARGO                                     = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_CARGO_BASICO                              = 5
WD_CATEGORIA_ECONOMICA2_NARE                 = 8
WD_CATEGORIA_ECONOMICA_NADE                  = 11
WD_CATEGORIA_ECONOMICA_NARE                  = 9
WD_CATEGORIA_GASTO_NADE                      = 20
WD_CATEGORIA_ITEM                            = 11
WD_CATEGORIA_SIORG                           = 86
WD_CCON_ROTEIRO_EVENTO                       = 106.409
WD_CELULA_ORCAMENTARIA                       = 3.744.642
WD_CENTRO_CUSTO                              = 57.037
WD_CLASSE_BEM                                = 6
WD_CLASSE_CARGO                              = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_CLASSE_CCON                               = 11
WD_CLASSE_EVENTO                             = 20
WD_CLASSE_EXERCICIO_CCON                     = 172
WD_COMPROMISSO                               = 88.196.739
WD_COMPROMISSO_DOCUMENTO                     = 90.639.337
WD_CONTA_CONTABIL                            = 11.520
WD_CONTA_CONTABIL_EXERCICIO                  = 198.765
WD_CONTA_CONTABIL_RUBRICA_VINC               = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_CONTA_CORRENTE                            = 111.230.369
WD_COTA_PARTE                                = 692
WD_CRONOGRAMA_TV                             = 807.528
WD_CRONOG_FECHAM_MES                         = 12.710
WD_DESTINACAO_RECEITA                        = 1.398
WD_DESTINACAO_RECOLHIMENTO                   = 1.602
WD_DETALHE_ACOMP_PO                          = 168
WD_DETA_CREDITO_ORGAO                        = 7
WD_DETA_FONTE                                = 6
WD_DETA_FONTE_EVENTO                         = 8
WD_DETA_INSCRICAO_EVENTO                     = 104
WD_DETA_ORCA_FINA_DAR                        = 9.070.910
WD_DETA_ORCA_FINA_DARF                       = 40.549.627
WD_DETA_ORCA_FINA_GFIP                       = 70.985
WD_DETA_ORCA_FINA_GPS                        = 9.340.853
WD_DETA_ORCA_FINA_GRU                        = 3.543.954
WD_DETA_PI_EVENTO                            = 6
WD_DIA                                       = 16.608
WD_DIA_BASE                                  = 34
WD_DIVIDA_EXTERNA                            = 1.837
WD_DOCUMENTO                                 = 1.147.352.573
WD_DOCUMENTO_2004                            = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_DOCUMENTO_CONTABIL_TV                     = 1.226.938
WD_DOCUMENTO_DEPARA                          = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_DOCUMENTO_DOC_HABIL                       = 50.383.226
WD_DOCUMENTO_FINANCEIRO_TV                   = 7.474.479
WD_DOCUMENTO_OLD                             = 968.795.444
WD_DOCUMENTO_ORCAMENTARIO_TV                 = 268.374
WD_DOC_DAR                                   = 9.032.582
WD_DOC_DARF                                  = 40.162.363
WD_DOC_FINA_LINHA_TV                         = 6.564.580
WD_DOC_GFIP                                  = 67.031
WD_DOC_GPS                                   = 9.113.519
WD_DOC_GRU                                   = 3.461.162
WD_DOC_HABIL                                 = 68.154.712
WD_DOC_HABIL_RELACIONADO                     = 43.552.089
WD_DOC_NC                                    = 12.958.852
WD_DOC_ND                                    = 18.641.279
WD_DOC_NE                                    = 59.158.707
WD_DOC_NE_ITEM                               = 106.025.749
WD_DOC_NE_ITEM_OPERACAO                      = 24.576.975
WD_DOC_NE_PASSIVO                            = 54.652.245
WD_DOC_NE_TRANSF                             = 8.093.444
WD_DOC_NL                                    = 27.818.919
WD_DOC_NS                                    = 218.541.958
WD_DOC_NS_DOC_HABIL                          = 51.037.415
WD_DOC_NT                                    = 880.500
WD_DOC_OB                                    = 120.956.648
WD_DOC_ORCA_LINHA_TV                         = 3.351.651
WD_DOC_ORIGEM                                = 133.227.959
WD_DOC_ORIGEM_DOC_HABIL                      = 73.391.283
WD_DOC_PE                                    = 1.939.131
WD_DOC_PERMITIDO_EVENTO                      = 46.315
WD_DOC_PE_OPERACAO                           = 218.260
WD_DOC_PF                                    = 21.274.206
WD_DOC_RA                                    = 597.753.870
WD_DOC_RO                                    = 66.497.882
WD_DOMICILIO_BANCARIO                        = 21.152.376
WD_ELEMENTO_DESPESA_NADE                     = 98
WD_EMDE_ADITIVO_TV                           = 1.201.316
WD_EMPRESA_DESTINATARIA_TV                   = 886.592
WD_EMP_NAO_SUP_FUNDOS_ORGAO                  = 5
WD_ENCERRAMENTO_CCON                         = 7
WD_ENTIDADE                                  = 28.305.964
WD_ENTIDADE_20210520                         = 24.816.328
WD_ENTIDADE_BKP                              = 24.797.669
WD_ENTIDADE_DOBA                             = 18.828.564
WD_ENTIDADE_SQL                              = 12.513.444
WD_ENTIDADE_SQL_BKP                          = 2.789.855
WD_ENVIO_FITA_ONLINE_GFIP                    = 6
WD_ENVIO_FITA_ONLINE_OB                      = 8
WD_ESCOLARIDADE                              = 72
WD_ESCOLARIDADE_CARGO                        = 9
WD_ESFERA_ADMIN_TV                           = 10
WD_ESFERA_ADMIN_UG                           = 9
WD_ESFERA_ORCAMENTARIA                       = 7
WD_ESFERA_SIORG                              = 6
WD_ESPECIE_DETA_ND                           = 6
WD_ESPECIE_GR_RA                             = 11
WD_ESPECIE_LISTA_ITENS_NE                    = 7
WD_ESPECIE_NE                                = 39
WD_ESPECIE_RA                                = 6
WD_ESPECIE_RECEITA2_NARE                     = 153
WD_ESPECIE_RECEITA_NARE                      = 144
WD_ESTADO_DOC_HABIL                          = 9
WD_ESTADO_MUNICIPIO_UG                       = 5
WD_EVENTO                                    = 34.068
WD_EVENTO_COMPLEMENTAR                       = 54.614
WD_EXERCICIO_ADITIVO_TV                      = 1.204.752
WD_EXERCICIO_TV                              = 895.216
WD_EXER_EMISSAO_NE                           = 6
WD_EXIG_EQUI_NATU_EVENTO                     = 5
WD_FAIXA_ETARIA                              = 16
WD_FAVORECIDO_EVENTO                         = 6
WD_FONTE_CADASTRO                            = 12.694
WD_FONTE_DETALHE_ORGAO_CENTRAL               = 1.403
WD_FONTE_DETALHE_REDUZIDO                    = 6.772
WD_FONTE_INSCRICAO_1_EVENTO                  = 34.642
WD_FONTE_INSCRICAO_2_EVENTO                  = 34.084
WD_FONTE_ORGAO_CENTRAL_ORGAO                 = 1.380
WD_FONTE_ORGAO_CENTRAL_VINCULACAO            = 1.380
WD_FONTE_RECURSO                             = 288
WD_FONTE_RECURSO_DETA                        = 51.821
WD_FONTE_RECURSO_PERMITIDO                   = 876
WD_FORMACAO_PROFISSIONAL                     = 6.433
WD_FORMA_UTILIZACAO_CPR                      = 8
WD_FPAS                                      = 34
WD_FUNCAO                                    = 21.529
WD_FUNCAO_PT                                 = 35
WD_FUNCAO_UG                                 = 6
WD_GESTAO                                    = 456
WD_GFIP                                      = 26
WD_GRUPO_CARGO                               = 548
WD_GRUPO_CCON                                = 54
WD_GRUPO_CREDOR_DIEX                         = 9
WD_GRUPO_DESPESA_NADE                        = 13
WD_GRUPO_DE_FONTE                            = 7
WD_GRUPO_DE_FONTE_DETA                       = 166
WD_GRUPO_EXERCICIO_CCON                      = 797
WD_GRUPO_FONTE                               = 13
WD_GRUPO_RUBRICA                             = 11
